,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
335,wagar,16.1525,36.2032,88.75,31.0,3.0,17.49,SD,1635531336.0
336,sundargarh,22.1167,84.0333,74.68,72.0,82.0,1.16,IN,1635531337.0
337,shakawe,-18.3667,21.85,79.68,42.0,93.0,1.88,BW,1635531338.0
338,parry sound,45.3501,-80.033,54.88,71.0,65.0,10.4,CA,1635531339.0
339,isla mujeres,21.2311,-86.731,84.25,52.0,28.0,15.75,MX,1635531339.0
340,road town,18.4167,-64.6167,84.99,70.0,11.0,14.27,VG,1635531339.0
341,mutoko,-17.397,32.2268,68.88,40.0,23.0,10.65,ZW,1635531340.0
342,nicoya,10.1483,-85.452,85.55,75.0,78.0,2.44,CR,1635531340.0
343,waipawa,-41.4122,175.5153,54.23,95.0,93.0,3.6,NZ,1635531341.0
344,elko,41.0002,-115.5012,53.74,70.0,3.0,5.01,US,1635531341.0
345,abrau-dyurso,44.69,37.59,45.86,72.0,0.0,10.78,RU,1635531342.0
347,chihuahua,28.5,-106.0,68.83,18.0,0.0,8.12,MX,1635531342.0
348,dalvik,65.9702,-18.5286,42.73,99.0,100.0,1.59,IS,1635531342.0
349,slave lake,55.2834,-114.769,39.18,56.0,1.0,14.97,CA,1635531324.0
350,kungurtug,50.5994,97.5228,26.64,85.0,58.0,1.81,RU,1635531343.0
351,beisfjord,68.3751,17.5988,43.05,94.0,98.0,3.83,NO,1635531343.0
